txt,category
"<Sender>:Yeo Xiong Wei, Jonathan. <Title>:Participate in Paid Economic Study --- Advice Giving in Groups2:55 PM. <Content>:Dear Students, We would like to invite you to participate in an economics study: Advice Giving in Groups. In this study, you will be making decisions on the computer using a standard keyboard and mouse. After the experiment, there will be a shor",Invitation.
"<Sender>:OCBC Bank. <Title>:Here are details of a transaction (ref no. ST120230125) involving your account2:48 PM. <Content>:Dear Sir / Madam Our customer, NANYANG TECHNOLOGICAL UNIVERSITY, would like us to inform you of the following transaction: Transaction type: GIRO Payment Name: ZHAO YINJIE Account number and bank: 537XXXX26001 OVERSEA-CHINESE BANKING CORP LTD T",Financial Transaction Notification.
"<Sender>:Google Scholar Citations. <Title>:Verify your email address11:55 AM. <Content>:We have received a request to verify yzhao025@e .ntu .edu .sg for your Scholar profile yzhao0267@gmail .com. Verify email address Yinjie Zhao Email at e .ntu .edu .sg isn't verified yet. AI, Machine Learning This message is sent by Google",Verification Email.
"<Sender>:Elsevier Identity. <Title>:Welcome to Elsevier11:47 AM. <Content>:Welcome Yinjie, With your Elsevier account you can sign in, edit your details and make institutional connections for a range of Elsevier products. You are subscribed to receive marketing communications from us regarding relevant products and service",Marketing Communications.
"<Sender>:Elsevier Identity. <Title>:Get access - now verify your email11:46 AM. <Content>:Welcome, Click the link below to get access to the Elsevier services you use via Nanyang Technological University. Get access Or use this link: https://id.elsevier.com/ext/EIARedeem?dgcid=raven_id_institutionalaccess_email_ENGVIL-PRODV1&emailS",Access Request.
"<Sender>:Gwee Bah Hwee (Assoc Prof). <Title>:Nanyang-DSO Graduate Programme (NDGP) Aug 2023/ Jan 2024 Application11:43 AM. <Content>:Dear EEE/IEM Graduating Batch Students, Please find below a PhD scholarship which only opens to Singaporean for your consideration. I have a PhD research project on Machine Learning and looking for a suitable candidate. I also have a NDGP PhD schol",Scholarship Opportunity.
<Sender>:EEE Students Office. <Title>:(Week 5) SEEENIORS Summary & Review Class11:41 AM. <Content>:[Recipients of this email are placed in the Bcc field. This email is intended for all EEE/IEM.] Dear Students The SEEENIORS sessions will be conducted on the following dates: If you are facing any difficulties in your courses and would like to se,Educational/Academic.
"<Sender>:Executive Director, NTU Sustainability Office. <Title>:Sustainability Matters Newsletter - Issue 5 - Feb 2310:56 AM. <Content>:Dear NTU Community, Greetings from the NTU Sustainability Office. We are pleased to share with you the fifth edition (Feb 23, attached below) of our newsletter, Sustainability Matters. The newsletter can also be viewed on our website via this link.",Newsletter.
"<Sender>:RE-Admin. <Title>:[Registration] RE@Hall 15 Upcycling Workshop #2 - Hanging Self-Watering Planter10:44 AM. <Content>:Dear REsidents, Having no idea on the used plastic bottles other from throwing away or recycling them? You may upcycle them! Take a break from the hustle and bustle of student life and join us with Green Sproutz Singapore in Hanging Self-Waterin",Event Invitation
"<Sender>:Director, Student Affairs. <Title>:You are invited! Mind Matters 2023 (6 - 10 Feb 2023)10:40 AM. <Content>:Dear Students As we re-start our engines for the new semester, it is important to take time for self-care, and to look after our own wellbeing. Jointly organised by Welfare Services Club and Graduate Students’ Association, “Mind Matters” is an ann",Invitation
"<Sender>:CAO Experiential. <Title>:[Company Visit] - You are invited to visit Rakuten on 16 February, Thursday (3.00 PM to 5.00 PM)10:37 AM. <Content>:Brought to you by Career & Attachment Office Dear Students We would like to invite you to Rakuten Recruitment Talk! Date: 16 February 2023, Thursday Time: 3.00 PM to 5.00 PM Click HERE to register before 5 February 2023 This is an op",Invitation.
"<Sender>:Lee Hebin. <Title>:Science & Technology Policy & Plans office road show. 9:46 AM. <Content>:Dear Students, Get ready to join the CTRL+SHIFT movement! As part of the campaign, we are excited to announce that the CTRL+SHIFT truck from Science & Technology Policy & Plans office will be visiting NTU on the 8th of February! What will be happeni",Event Announcement.
"<Sender>:EEE Undergraduate Studies. <Title>:[Session 1] Registration & Sealing of Calculators for Examination9:39 AM. <Content>:REGISTRATION & SEALING OF CALCULATORS FOR AY2022 SEMESTER 2 EXAMINATION https://tinyurl.com/27awszj4 6 Feb (Mon) to 10 Feb (Fri) 2023 | 10 am - 4 pm | EEE Academic Programme Office (Block S2, Level B2a)",Examination Information.
"<Sender>:Eric Yeo. <Title>:[Register today] Recruitment talk with Singapore Refining Company (SRC) in campus - 22 Feb @ Noon time9:07 AM. <Content>:Dear Students, You are warmly invited. Come and join us for the company insight sharing session and explore jobs and internship opportunities with the organisation. Click https://careeraxis.ntu.edu.sg/students/events/Detail/634309 to register tod",Event Invitation.
"<Sender>:Zheng Shimin, Lillian. <Title>:We Want YOU! OneArena 2023 Sub-Committee Recruitment!8:42 AM. <Content>:Greetings to all College of Engineering Students Are you looking for an opportunity to showcase your leadership skills, or to inspire youths to take on coding and robotics? We are looking for Sub-Committee members for Technical, Branding, and Operat",Recruitment.
<Sender>:#IEEENTU-Branch#. <Title>:IES x IEEE Codewars 20238:00 AM. <Content>:Greetings from IEEE NTU Student Branch and IES NTU Student Chapter! Are you curious about summer internships and don’t know how to start preparing? Feeling nervous about cracking a technical interview? Finding coding problems too overwhelming? If YES,Event Promotion.
"<Sender>:#SHAH ATHARWA#; Pamela Cheng. <Title>:🚀 Inviting EEE NTU students to participate in Singapore Airlines AppChallenge 2022 - Student Track! (Open: 1 July - 31 July 2022)1:26 AM. <Content>:Hi Ms. Pamela, After our last discussion. We discussed with our team and school internally and came up with probable MLDA X SIA collaborations for this year. I have put everything in the attached pdf. Please do let me know if you have any doubts. Looki",Invitation
"<Sender>:Brandwatch. <Title>:10 new tools to help you adapt and thrive in 20231:12 AM. <Content>:Forget business as usual. Accelerate growth with a comprehensive toolkit. View in browser INTELLIGENT & EFFICIENT TOOLS FOR GROWTH Adapt and thrive in 2023 with 10 new tools, all under one roof This year, more than ever, brands will have t",Marketing Email.
"<Sender>:Career Fair. <Title>:2 MORE DAYS! Largest hybrid Career Fair this year! NTU Career Fair 2023 - 2, 7 and 9 February 2023 (3 days of physical and 14 days of virtual)Tue 9:18 PM. <Content>:Dear Students, We are sure that you have heard of the numerous job cuts in certain industries. There must be many thoughts running through in your mind - “I’m worried about my career after graduation” or “How can I secure an opportunity to meet p",Promotional Email.
"<Sender>:NTU Career Axis. <Title>:International Students – Download of Letter of Eligibility for Employer PassTue 5:16 PM. <Content>:Important Note: This message is only applicable to graduating International Students on MOE Tuition Grant with service obligation. Dear International Students, For those who are on MOE tuition grant with service obligation, please print out and save",Information/Notification.
"<Sender>:AI Singapore. <Title>:AI Research Awarded Projects - Feature (Part 1/3)Tue 5:04 PM. <Content>:The AI Research pillar in AISG aims to create impact and ensure Singapore stays at the forefront of global AI thought leadership. Over the last few years, we have awarded grants to support fundamental AI research by seeding game-changing projects.",Information/Notification.
"<Sender>:EEE Students Office. <Title>:A*STAR ScholarshipsTue 2:49 PM. <Content>:[Recipients of this email are placed in the Bcc field. This email is intended for all EEE/IEM students.] Dear Students If you are interested in applying, please refer to the below-mentioned email.",Notification/Announcement.
"<Sender>:Ivan Choong. <Title>:Invitation to NTU launch of its inaugural Management Associate Programme (MAP)Tue 1:53 PM. <Content>:Dear final year students Am resending this again as some of you have wrote to me that they did not receive the email blast, and some have issues accessing the registration link via the QR code. For those that have issues with accessing the QR code,",Invitation
"<Sender>:CAO Experiential. <Title>:[NTU CAmpcOde] – SimplifyNext x UiPath RPA Hackathon 2023. Register before 6 FebruaryTue 1:35 PM. <Content>:Dear Students Over the years, Work-Life balance has become an increasingly important satisfaction criteria for employees in their daily tasks. In Singapore, although many employers have adopted automation within their organisation, there is still a",Promotional Email.
"<Sender>:Zheng Shimin, Lillian. <Title>:PHP Regular Programming InvitationTue 12:36 PM. <Content>:Hello Every buddy! 💕 🔔🔔🔔This is a reminder that PHP Kakis that is happening every Wednesday (6pm to 8pm) and Friday (2pm to 4pm) at Global Lounge right beside AIA Canopy. There will change in timing for this Wednesday, 2nd Feb - Breathe with Kak",Event Invitation
<Sender>:ntu_application_mail@ntu.edu.sg. <Title>:<ZHAO YINJIE> Student Assistant Claim (WS-205-011093)Tue 11:37 AM. <Content>:Your Claim has been processed. The amount will be credited into your account within approximately 14 days. Thank You,Notification
"<Sender>:Zoom. <Title>:Cloud Recording - MLDA: Multi-modal Learning is now availableTue 11:08 AM. <Content>:Hi Zhao Yinjie, Your cloud recording is now available. Cloud recordings will be deleted automatically after they have been stored for 120 days. Topic: MLDA: Multi-modal Learning Date: Jan 31, 2023 11:04 AM Singapore View Detail",Notification.
