txt,category
"<Uploader>:Border towns neighbouring Myanmar brought uneasily close to the conflict as violence spills over. <Description>:One afternoon in June 2022, students in a school in the tiny Thai village of Wale were thrown into panic when a fighter jet circled overhead, before firing on the Myanmar side of the border nearby. CNA’s Saksith Saiyasombut visits the community that has been brought uncomfortably close to the conflict since Myanmar’s 202",[Asia]
"<Uploader>:Club HEAL's 10th anniversary: Auction raises more than S$10,200 to support mental wellness centres. <Description>:A boxing glove signed by Mike Tyson and an Argentina football jersey signed by seven-time Ballon d’Or winner, Lionel Messi were among 44 items that raised more than S$10,200 in a silent auction by Club HEAL. It is to help those in need of mental health support.",[Others]
<Uploader>:Public housing affordability to be debated in Parliament. <Description>:,[Others]
"<Uploader>:Dr Mohamed Ali on rehabilitating radicalised youths. <Description>:Singapore has dealt with nine radicalised youths under the Internal Security Act since 2015. Much work goes into putting them on the right path, which includes religious counselling 
and social psychological support. Authorities work with partners like the Religious Rehabilitation Gro",[Others]
"<Uploader>:MCI to address SPH Media Trust's circulation issue in Parliament. <Description>:The SPH Media Trust circulation saga will be addressed in Parliament when it sits on Feb 6. It was revealed last month that circulation numbers of titles published by SPH Media had been inflated by between 85,000 and 95,000. That is about 10 to 12 per cent of the reported daily average circulation. Professor Lawrence ",[Others]
"<Uploader>:No bail for man who allegedly held woman at knifepoint in Yishun. <Description>:A judge has denied bail for the man who allegedly held a woman at knifepoint in Yishun in January. The 42-year-old was found to be under substance-induced psychosis during the attack, due to drug consumption. The judge said his alleged offence is serious and there is a risk of re-offending and to public safety.",[Others]
"<Uploader>:Digital access: Govt will make assistance schemes more convenient and flexible, says Josephine Teo. <Description>:The Government will work on strengthening digital access by making assistance schemes more convenient and flexible. Communications and Information Minister Josephine Teo said this is one of the ways Singapore can become more digitally inclusive.",[Others]
"<Uploader>:New network formed to look into implementing work injury compensation for platform workers. <Description>:A new network has been formed in Singapore to look into compensating platform workers like private hire and food delivery drivers should they get injured on the job. The move follows recommendations by an advisory committee last November, to ensure better injury compensation. Those recommendations are expect",[Others]
"<Uploader>:Consumers in Singapore lost more than S$645,000 in prepayments in 2022 due to business closures. <Description>:Consumers in Singapore lost more than S$645,000 in 2022 due to sudden closures of merchants. They had paid for products and services in advance. The Consumers Association of Singapore said this is a 24 per cent jump from 2021. Most of these cases came from the beauty industry. Consumers were not able to get refu",[Asia]
"<Uploader>:South Korea's ex-justice minister sentenced to 2 years in prison over forged documents. <Description>:A South Korean court has sentenced a former justice minister to two years in prison. Cho Kuk was found guilty of falsifying documents to help his children get into universities. The scandal had deepened political divide amid voter disillusionment over intensifying inequality, and growing calls for fairness and reform.",[Asia]
"<Uploader>:ASEAN foreign ministers support Indonesia's approach to Myanmar crisis. <Description>:ASEAN foreign ministers have given the bloc’s new chair, Indonesia, their full support, as it laid out its approach to the Myanmar crisis. Indonesian Foreign Minister Retno Marsudi said she has spoken to all stakeholders. Earlier this week, a Reuters report stated that Jakarta plans to send a general to Myanmar to share its demo",[Asia]
"<Uploader>:Poland working to ban Russian, Belarusian athletes from 2024 Olympics. <Description>:Poland is working on getting Russian and Belarusian athletes banned from the 2024 Olympics. It believes it will be possible to build a coalition of about 40 willing countries - that would include the US, Britain and Canada. The last few days have seen a growing debate over the 2024 Paris Games. Russia is pushing for all restric",[Europe]
"<Uploader>:Gautam Adani's net worth plunges US$58b in 6 trading days. <Description>:Many are looking to distance themselves from troubled Indian conglomerate Adani Group.
Dow Jones Indices said it is  going to drop group flagship Adani Enterprises from the widely used sustainability indices from Feb 7. India's National Stock Exchange has put three of the group's stocks, including Ada",[Others]
"<Uploader>:Adani rout sparks concerns that fallout could affect business confidence in India. <Description>:The crisis at Indian conglomerate Adani Group following a Wall Street report alleging widespread fraud has put the country's attractiveness as an investment destination under a cloud. It has caused two days of uproar in the the Indian parliament. The government is choosing to stay largely quiet, but the opposition is making l",[Others]
"<Uploader>:China to fully reopen borders with Hong Kong, Macau. <Description>:Hong Kong, Macau and China will lift all COVID-19 restrictions for cross-boundary travel, including a PCR test requirement and a daily quota from Feb 6, putting an end to three years of strict isolation. This comes as Hong Kong tracked an 80 per cent drop in daily reported infections over the past month. ",[Asia]
"<Uploader>:China working to verify reports of ""spy balloon"" over US. <Description>:Beijing is calling for calm following reports of a suspected Chinese spy balloon hovering over the United States. China said it is working to verify the claim and urged all to refrain from speculation. The incident has put the militaries and intelligence services of America and Canada on alert. It is also the latest threat to US-C",[Asia]
"<Uploader>:Doctors hope cervical cancer cases in Singapore can decline through screening, vaccination. <Description>:",[Asia]
"<Uploader>:Myanmar crisis: Balance of sanctions and dialogue needed for progress in talks. <Description>:Two years into a military coup that plunged Myanmar into unrest, world leaders – particularly ASEAN mediators – are still grappling with how to best engage the junta on progress. Associate Professor Simon Tay tells CNA’s Asia First that both sanctions and dialogue are needed.",[Asia]
"<Uploader>:Will AI chatbot ChatGPT change the way students learn?. <Description>:The viral ChatGPT chatbot may be smart enough to generate answers to pass prestigious graduate-level exams in the United States, although not with high marks. It has raised fears that students will outsource their learning to artificial intelligence. CNA’s Ira Spitzer reports. ",[Others]
"<Uploader>:Myanmar community in Singapore copes with fear, worries two years after military coup back home. <Description>:Myanmar nationals Kate Mo yearns to go home and pay her respects to her late grandmothers, who both died after being infected with COVID-19. But two years since their passing, she and her family have yet to return home due to the unrest. CNA's Richa Mathew finds out how the community is coping.",[Asia]
<Uploader>:Why is a strait between Philippines and Taiwan a key area of concern for the US?. <Description>:,[Asia]
<Uploader>:Access to Philippine military bases ‘strategic’ for US near Taiwan: Analysts. <Description>:,[Asia]
<Uploader>:Investors should wait and see before buying Adani stocks: Observer. <Description>:Investors should wait for some clarity before putting their money into Adani stocks. The Smart Investor co-founder David Kuo told CNA’s World Tonight that it is “always better to stay out of trouble than to try and get out of trouble later on”.,Others
"<Uploader>:Can a food-loving nation like Singapore consume less salt and sugar? | Heart of the Matter podcast. <Description>:Singapore’s consumption of sugar and salt is above the recommended global limits and it is making us sick. The Government is introducing measures like the Nutri-Grade label to curb this, but will these take away the joy of all that is delicious about local food? Steven Chia speaks to Jaclyn Reutens, dietitian from Aptima Nutriti",[Others]
"<Uploader>:What is short selling?. <Description>:Short selling is a strategy that allows traders to profit by betting that the price of an asset will fall. It is commonly done with stocks but can be done with debt and cryptocurrencies too, CNA's Avril Hong explains.",[Others]
"<Uploader>:More than 60,000 student-athletes participating in National School Games. <Description>:More than 60,000 student-athletes are springing back into action as the National School Games roars fully to life after three years. A new competition format promises more game time for the young athletes.",[Others]
"<Uploader>:Mortgage rates in Singapore may increase by up to 100 basis points this year: Analysts. <Description>:Analysts say mortgage rates in Singapore may increase by up to 100 basis points this year, as the US Federal Reserve signalled that it will continue to raise interest rates. Interest rates in Singapore typically take reference from the US federal funds rate. ",[Asia].
"<Uploader>:Singapore's factory activity contracts for 5th straight month in January. <Description>:Singapore's factory activity has contracted for the fifth straight month, amid slower global growth and softer demand. But the January figures are an improvement from the previous month due to factors like a smaller decline in new orders and inventory.",[Asia]
"<Uploader>:NUS gives 2 of its oldest buildings a green makeover. <Description>:The National University of Singapore has given two of its oldest buildings a green makeover, setting them towards net zero. The decarbonisation effort also extends to education, with the university expanding how it teaches the next generation of urban planners.  ",[Others]
"<Uploader>:Southeast Asia's largest energy storage system opens on Jurong Island. <Description>:Southeast Asia's largest energy storage system is now formally powered up in Singapore, in a boost to the country's solar power adoption efforts. The Sembcorp facility on Jurong Island is able to power 24,000 households per discharge. It can hold a maximum of 285 megawatt-hours, exceeding the nation's ene",[Asia]
"<Uploader>:Updated career conversion programme, new partnership to attract talent to furniture industry. <Description>:Those looking to make a mid-career switch to the furniture industry can now tap on an enhanced course. The tailored scheme aims to re-skill up to 280 PMETs. A new partnership between industry players and the Institute of Technical Education will also help firms attract more fresh graduates.",
"<Uploader>:Employers, unions to play larger role in ensuring training programmes are relevant. <Description>:Employers and unions will get to play a larger role in ensuring training programmes for workers are relevant to their companies' needs. This is with a refreshed roadmap for the adult education industry. There will also be greater focus on making training courses more accessible to those juggling full-time work, by making",
"<Uploader>:Hong Kong launches drive to boost post-pandemic tourism. <Description>:Hong Kong will be giving away 500,000 air tickets for free as part of an aggressive campaign to draw tourists and businesses back to the city. This comes weeks after the financial hub lifted most of its COVID-19 restrictions and partially resumed border links with the mainland. ",
<Uploader>:ASEAN foreign ministers to meet in Jakarta. <Description>:Indonesia starts its chairmanship of ASEAN by hosting its first major meeting this week. The group's foreign ministers will gather at the ASEAN Secretariat in Jakarta to discuss a slew of issues affecting the region. One topic which is expected to be high on the agenda is the political crisis in Myanmar.,
"<Uploader>:Russian FM Lavrov warns West against sending weapons to Ukraine. <Description>:Russian Foreign Minister Sergei Lavrov has warned the West against sending longer-range weapons to Ukraine. He said it will be an escalation in the war, which has raged for almost a year. Mr Lavrov also lashed out at European Commission President Ursula von der Leyen, who is in Kyiv for her fourth visit. She and oth",
"<Uploader>:Shares of Adani Enterprises sink as much as 27%. <Description>:Adani stocks fell for the sixth trading session on Feb 2. The conglomerate's flagship Adani Enterprises sank as much as 27 per cent. This added to the 28 per cent tumble on Feb 1, which prompted the company to shelve a US$2.5 billion share sale and return the money to investors. The scrutiny of Gautam Adani's empire is",
